"gutenberg_id" "text"
164 "During the first months of the year 1867 the question seemed buried,"
164 "never to revive, when new facts were brought before the public.  It was"
164 "then no longer a scientific problem to be solved, but a real danger"
164 "seriously to be avoided.  The question took quite another shape.  The"
164 "monster became a small island, a rock, a reef, but a reef of indefinite"
164 "and shifting proportions."
164 ""
164 "On the 5th of March, 1867, the Moravian, of the Montreal Ocean Company,"
164 "finding herself during the night in 27 deg. 30' lat. and 72 deg. 15'"
164 "long., struck on her starboard quarter a rock, marked in no chart for"
164 "that part of the sea.  Under the combined efforts of the wind and its"
164 "four hundred horse power, it was going at the rate of thirteen knots."
164 "Had it not been for the superior strength of the hull of the Moravian,"
164 "she would have been broken by the shock and gone down with the 237"
164 "passengers she was bringing home from Canada."
164 ""
164 "The accident happened about five o'clock in the morning, as the day was"
164 "breaking.  The officers of the quarter-deck hurried to the after-part"
164 "of the vessel.  They examined the sea with the most careful attention."
164 "They saw nothing but a strong eddy about three cables' length distant,"
164 "as if the surface had been violently agitated.  The bearings of the"
164 "place were taken exactly, and the Moravian continued its route without"
164 "apparent damage.  Had it struck on a submerged rock, or on an enormous"
164 "wreck?  They could not tell; but, on examination of the ship's bottom"
164 "when undergoing repairs, it was found that part of her keel was broken."
164 ""
164 "This fact, so grave in itself, might perhaps have been forgotten like"
164 "many others if, three weeks after, it had not been re-enacted under"
164 "similar circumstances.  But, thanks to the nationality of the victim of"
164 "the shock, thanks to the reputation of the company to which the vessel"
164 "belonged, the circumstance became extensively circulated."
164 ""
164 "The 13th of April, 1867, the sea being beautiful, the breeze"
164 "favourable, the Scotia, of the Cunard Company's line, found herself in"
164 "15 deg. 12' long. and 45 deg. 37' lat.  She was going at the speed of"
164 "thirteen knots and a half."
164 ""
164 "At seventeen minutes past four in the afternoon, whilst the passengers"
164 "were assembled at lunch in the great saloon, a slight shock was felt on"
164 "the hull of the Scotia, on her quarter, a little aft of the port-paddle."
164 ""
164 "The Scotia had not struck, but she had been struck, and seemingly by"
164 "something rather sharp and penetrating than blunt.  The shock had been"
164 "so slight that no one had been alarmed, had it not been for the shouts"
164 "of the carpenter's watch, who rushed on to the bridge, exclaiming, \"We"
164 "are sinking! we are sinking!\"  At first the passengers were much"
164 "frightened, but Captain Anderson hastened to reassure them.  The danger"
164 "could not be imminent.  The Scotia, divided into seven compartments by"
164 "strong partitions, could brave with impunity any leak.  Captain"
164 "Anderson went down immediately into the hold.  He found that the sea"
164 "was pouring into the fifth compartment; and the rapidity of the influx"
164 "proved that the force of the water was considerable.  Fortunately this"
164 "compartment did not hold the boilers, or the fires would have been"
164 "immediately extinguished.  Captain Anderson ordered the engines to be"
164 "stopped at once, and one of the men went down to ascertain the extent"
164 "of the injury.  Some minutes afterwards they discovered the existence"
164 "of a large hole, two yards in diameter, in the ship's bottom.  Such a"
164 "leak could not be stopped; and the Scotia, her paddles half submerged,"
164 "was obliged to continue her course.  She was then three hundred miles"
164 "from Cape Clear, and, after three days' delay, which caused great"
164 "uneasiness in Liverpool, she entered the basin of the company."
164 ""
164 "The engineers visited the Scotia, which was put in dry dock.  They"
164 "could scarcely believe it possible; at two yards and a half below"
164 "water-mark was a regular rent, in the form of an isosceles triangle."
164 "The broken place in the iron plates was so perfectly defined that it"
164 "could not have been more neatly done by a punch.  It was clear, then,"
164 "that the instrument producing the perforation was not of a common stamp"
164 "and, after having been driven with prodigious strength, and piercing an"
164 "iron plate 1 3/8 inches thick, had withdrawn itself by a backward"
164 "motion."
164 ""
164 "Such was the last fact, which resulted in exciting once more the"
164 "torrent of public opinion.  From this moment all unlucky casualties"
164 "which could not be otherwise accounted for were put down to the monster."
164 ""
164 "Upon this imaginary creature rested the responsibility of all these"
164 "shipwrecks, which unfortunately were considerable; for of three"
164 "thousand ships whose loss was annually recorded at Lloyd's, the number"
164 "of sailing and steam-ships supposed to be totally lost, from the"
164 "absence of all news, amounted to not less than two hundred!"
164 ""
164 "Now, it was the \"monster\" who, justly or unjustly, was accused of their"
164 "disappearance, and, thanks to it, communication between the different"
164 "continents became more and more dangerous.  The public demanded sharply"
164 "that the seas should at any price be relieved from this formidable"
164 "cetacean.[1]"
164 ""
164 ""
164 "[1] Member of the whale family."
164 ""
164 ""
164 ""
164 "CHAPTER II"
164 ""
164 "PRO AND CON"
164 ""
164 "At the period when these events took place, I had just returned from a"
164 "scientific research in the disagreeable territory of Nebraska, in the"
164 "United States.  In virtue of my office as Assistant Professor in the"
164 "Museum of Natural History in Paris, the French Government had attached"
164 "me to that expedition.  After six months in Nebraska, I arrived in New"
164 "York towards the end of March, laden with a precious collection.  My"
164 "departure for France was fixed for the first days in May.  Meanwhile I"
164 "was occupying myself in classifying my mineralogical, botanical, and"
164 "zoological riches, when the accident happened to the Scotia."
164 ""
164 "I was perfectly up in the subject which was the question of the day."
164 "How could I be otherwise?  I had read and reread all the American and"
164 "European papers without being any nearer a conclusion.  This mystery"
164 "puzzled me.  Under the impossibility of forming an opinion, I jumped"
164 "from one extreme to the other.  That there really was something could"
164 "not be doubted, and the incredulous were invited to put their finger on"
164 "the wound of the Scotia."
164 ""
164 "On my arrival at New York the question was at its height.  The theory"
164 "of the floating island, and the unapproachable sandbank, supported by"
164 "minds little competent to form a judgment, was abandoned.  And, indeed,"
164 "unless this shoal had a machine in its stomach, how could it change its"
164 "position with such astonishing rapidity?"
164 ""
164 "From the same cause, the idea of a floating hull of an enormous wreck"
164 "was given up."
164 ""
164 "There remained, then, only two possible solutions of the question,"
164 "which created two distinct parties:  on one side, those who were for a"
164 "monster of colossal strength; on the other, those who were for a"
164 "submarine vessel of enormous motive power."
164 ""
164 "But this last theory, plausible as it was, could not stand against"
164 "inquiries made in both worlds.  That a private gentleman should have"
164 "such a machine at his command was not likely.  Where, when, and how was"
164 "it built? and how could its construction have been kept secret?"
164 "Certainly a Government might possess such a destructive machine.  And"
164 "in these disastrous times, when the ingenuity of man has multiplied the"
164 "power of weapons of war, it was possible that, without the knowledge of"
164 "others, a State might try to work such a formidable engine."
164 ""
164 "But the idea of a war machine fell before the declaration of"
164 "Governments.  As public interest was in question, and transatlantic"
164 "communications suffered, their veracity could not be doubted.  But how"
164 "admit that the construction of this submarine boat had escaped the"
164 "public eye?  For a private gentleman to keep the secret under such"
164 "circumstances would be very difficult, and for a State whose every act"
164 "is persistently watched by powerful rivals, certainly impossible."
164 ""
164 "Upon my arrival in New York several persons did me the honour of"
164 "consulting me on the phenomenon in question.  I had published in France"
164 "a work in quarto, in two volumes, entitled Mysteries of the Great"
164 "Submarine Grounds.  This book, highly approved of in the learned world,"
164 "gained for me a special reputation in this rather obscure branch of"
164 "Natural History.  My advice was asked.  As long as I could deny the"
164 "reality of the fact, I confined myself to a decided negative.  But"
164 "soon, finding myself driven into a corner, I was obliged to explain"
164 "myself point by point.  I discussed the question in all its forms,"
164 "politically and scientifically; and I give here an extract from a"
164 "carefully-studied article which I published in the number of the 30th"
164 "of April.  It ran as follows:"
164 ""
164 "\"After examining one by one the different theories, rejecting all other"
164 "suggestions, it becomes necessary to admit the existence of a marine"
164 "animal of enormous power."
164 ""
164 "\"The great depths of the ocean are entirely unknown to us.  Soundings"
164 "cannot reach them.  What passes in those remote depths--what beings"
164 "live, or can live, twelve or fifteen miles beneath the surface of the"
164 "waters--what is the organisation of these animals, we can scarcely"
164 "conjecture.  However, the solution of the problem submitted to me may"
164 "modify the form of the dilemma.  Either we do know all the varieties of"
164 "beings which people our planet, or we do not.  If we do NOT know them"
164 "all--if Nature has still secrets in the deeps for us, nothing is more"
164 "conformable to reason than to admit the existence of fishes, or"
164 "cetaceans of other kinds, or even of new species, of an organisation"
164 "formed to inhabit the strata inaccessible to soundings, and which an"
164 "accident of some sort has brought at long intervals to the upper level"
164 "of the ocean."
164 ""
164 "\"If, on the contrary, we DO know all living kinds, we must necessarily"
164 "seek for the animal in question amongst those marine beings already"
164 "classed; and, in that case, I should be disposed to admit the existence"
164 "of a gigantic narwhal."
164 ""
164 "\"The common narwhal, or unicorn of the sea, often attains a length of"
164 "sixty feet.  Increase its size fivefold or tenfold, give it strength"
164 "proportionate to its size, lengthen its destructive weapons, and you"
164 "obtain the animal required.  It will have the proportions determined by"
164 "the officers of the Shannon, the instrument required by the perforation"
164 "of the Scotia, and the power necessary to pierce the hull of the"
164 "steamer."
164 ""
164 "\"Indeed, the narwhal is armed with a sort of ivory sword, a halberd,"
164 "according to the expression of certain naturalists.  The principal tusk"
164 "has the hardness of steel.  Some of these tusks have been found buried"
164 "in the bodies of whales, which the unicorn always attacks with success."
164 "Others have been drawn out, not without trouble, from the bottoms of"
164 "ships, which they had pierced through and through, as a gimlet pierces"
164 "a barrel.  The Museum of the Faculty of Medicine of Paris possesses one"
164 "of these defensive weapons, two yards and a quarter in length, and"
164 "fifteen inches in diameter at the base."
164 ""
164 "\"Very well! suppose this weapon to be six times stronger and the animal"
164 "ten times more powerful; launch it at the rate of twenty miles an hour,"
164 "and you obtain a shock capable of producing the catastrophe required."
164 "Until further information, therefore, I shall maintain it to be a"
164 "sea-unicorn of colossal dimensions, armed not with a halberd, but with"
164 "a real spur, as the armoured frigates, or the `rams' of war, whose"
164 "massiveness and motive power it would possess at the same time.  Thus"
164 "may this puzzling phenomenon be explained, unless there be something"
164 "over and above all that one has ever conjectured, seen, perceived, or"
164 "experienced; which is just within the bounds of possibility.\""
164 ""
164 "These last words were cowardly on my part; but, up to a certain point,"
164 "I wished to shelter my dignity as professor, and not give too much"
164 "cause for laughter to the Americans, who laugh well when they do laugh."
164 "I reserved for myself a way of escape.  In effect, however, I admitted"
164 "the existence of the \"monster.\" My article was warmly discussed, which"
164 "procured it a high reputation.  It rallied round it a certain number of"
164 "partisans.  The solution it proposed gave, at least, full liberty to"
164 "the imagination.  The human mind delights in grand conceptions of"
164 "supernatural beings.  And the sea is precisely their best vehicle, the"
164 "only medium through which these giants (against which terrestrial"
164 "animals, such as elephants or rhinoceroses, are as nothing) can be"
164 "produced or developed."
164 ""
164 "The industrial and commercial papers treated the question chiefly from"
164 "this point of view.  The Shipping and Mercantile Gazette, the Lloyd's"
164 "List, the Packet-Boat, and the Maritime and Colonial Review, all papers"
164 "devoted to insurance companies which threatened to raise their rates of"
164 "premium, were unanimous on this point.  Public opinion had been"
164 "pronounced.  The United States were the first in the field; and in New"
164 "York they made preparations for an expedition destined to pursue this"
164 "narwhal.  A frigate of great speed, the Abraham Lincoln, was put in"
164 "commission as soon as possible.  The arsenals were opened to Commander"
164 "Farragut, who hastened the arming of his frigate; but, as it always"
164 "happens, the moment it was decided to pursue the monster, the monster"
164 "did not appear.  For two months no one heard it spoken of.  No ship met"
164 "with it.  It seemed as if this unicorn knew of the plots weaving around"
164 "it.  It had been so much talked of, even through the Atlantic cable,"
164 "that jesters pretended that this slender fly had stopped a telegram on"
164 "its passage and was making the most of it."
164 ""
164 "So when the frigate had been armed for a long campaign, and provided"
164 "with formidable fishing apparatus, no one could tell what course to"
164 "pursue.  Impatience grew apace, when, on the 2nd of July, they learned"
164 "that a steamer of the line of San Francisco, from California to"
164 "Shanghai, had seen the animal three weeks before in the North Pacific"
164 "Ocean.  The excitement caused by this news was extreme.  The ship was"
164 "revictualled and well stocked with coal."
164 ""
164 "Three hours before the Abraham Lincoln left Brooklyn pier, I received a"
164 "letter worded as follows:"
164 ""
164 "To M. ARONNAX, Professor in the Museum of Paris, Fifth Avenue Hotel,"
164 "New York."
164 ""
164 "SIR,--If you will consent to join the Abraham Lincoln in this"
164 "expedition, the Government of the United States will with pleasure see"
164 "France represented in the enterprise.  Commander Farragut has a cabin"
164 "at your disposal."
164 ""
164 "Very cordially yours, J.B. HOBSON, Secretary of Marine."
164 ""
164 ""
164 ""
164 "CHAPTER III"
164 ""
164 "I FORM MY RESOLUTION"
164 ""
164 "Three seconds before the arrival of J. B. Hobson's letter I no more"
164 "thought of pursuing the unicorn than of attempting the passage of the"
164 "North Sea.  Three seconds after reading the letter of the honourable"
164 "Secretary of Marine, I felt that my true vocation, the sole end of my"
164 "life, was to chase this disturbing monster and purge it from the world."
164 ""
164 "But I had just returned from a fatiguing journey, weary and longing for"
164 "repose.  I aspired to nothing more than again seeing my country, my"
164 "friends, my little lodging by the Jardin des Plantes, my dear and"
164 "precious collections--but nothing could keep me back!  I forgot"
164 "all--fatigue, friends and collections--and accepted without hesitation"
164 "the offer of the American Government."
164 ""
164 "\"Besides,\" thought I, \"all roads lead back to Europe; and the unicorn"
164 "may be amiable enough to hurry me towards the coast of France.  This"
164 "worthy animal may allow itself to be caught in the seas of Europe (for"
164 "my particular benefit), and I will not bring back less than half a yard"
164 "of his ivory halberd to the Museum of Natural History.\" But in the"
164 "meanwhile I must seek this narwhal in the North Pacific Ocean, which,"
164 "to return to France, was taking the road to the antipodes."
164 ""
164 "\"Conseil,\" I called in an impatient voice."
164 ""
164 "Conseil was my servant, a true, devoted Flemish boy, who had"
164 "accompanied me in all my travels.  I liked him, and he returned the"
164 "liking well.  He was quiet by nature, regular from principle, zealous"
164 "from habit, evincing little disturbance at the different surprises of"
164 "life, very quick with his hands, and apt at any service required of"
164 "him; and, despite his name, never giving advice--even when asked for it."
164 ""
164 "Conseil had followed me for the last ten years wherever science led."
164 "Never once did he complain of the length or fatigue of a journey, never"
164 "make an objection to pack his portmanteau for whatever country it might"
164 "be, or however far away, whether China or Congo.  Besides all this, he"
164 "had good health, which defied all sickness, and solid muscles, but no"
164 "nerves; good morals are understood.  This boy was thirty years old, and"
164 "his age to that of his master as fifteen to twenty.  May I be excused"
164 "for saying that I was forty years old?"
164 ""
164 "But Conseil had one fault:  he was ceremonious to a degree, and would"
164 "never speak to me but in the third person, which was sometimes"
164 "provoking."
164 ""
164 "\"Conseil,\" said I again, beginning with feverish hands to make"
164 "preparations for my departure."
164 ""
164 "Certainly I was sure of this devoted boy.  As a rule, I never asked him"
164 "if it were convenient for him or not to follow me in my travels; but"
164 "this time the expedition in question might be prolonged, and the"
164 "enterprise might be hazardous in pursuit of an animal capable of"
164 "sinking a frigate as easily as a nutshell.  Here there was matter for"
164 "reflection even to the most impassive man in the world.  What would"
164 "Conseil say?"
164 ""
164 "\"Conseil,\" I called a third time."
164 ""
164 "Conseil appeared."
164 ""
164 "\"Did you call, sir?\" said he, entering."
164 ""
164 "\"Yes, my boy; make preparations for me and yourself too.  We leave in"
164 "two hours.\""
164 ""
164 "\"As you please, sir,\" replied Conseil, quietly."
164 ""
164 "\"Not an instant to lose; lock in my trunk all travelling utensils,"
164 "coats, shirts, and stockings--without counting, as many as you can, and"
164 "make haste.\""
164 ""
164 "\"And your collections, sir?\" observed Conseil."
164 ""
164 "\"They will keep them at the hotel.\""
164 ""
164 "\"We are not returning to Paris, then?\" said Conseil."
164 ""
164 "\"Oh! certainly,\" I answered, evasively, \"by making a curve.\""
164 ""
164 "\"Will the curve please you, sir?\""
164 ""
164 "\"Oh! it will be nothing; not quite so direct a road, that is all.  We"
164 "take our passage in the Abraham, Lincoln.\""
164 ""
164 "\"As you think proper, sir,\" coolly replied Conseil."
164 ""
164 "\"You see, my friend, it has to do with the monster--the famous narwhal."
164 "We are going to purge it from the seas.  A glorious mission, but a"
164 "dangerous one!  We cannot tell where we may go; these animals can be"
164 "very capricious.  But we will go whether or no; we have got a captain"
164 "who is pretty wide-awake.\""
164 ""
164 "Our luggage was transported to the deck of the frigate immediately.  I"
164 "hastened on board and asked for Commander Farragut.  One of the sailors"
164 "conducted me to the poop, where I found myself in the presence of a"
164 "good-looking officer, who held out his hand to me."
164 ""
164 "\"Monsieur Pierre Aronnax?\" said he."
164 ""
164 "\"Himself,\" replied I. \"Commander Farragut?\""
164 ""
164 "\"You are welcome, Professor; your cabin is ready for you.\""
164 ""
164 "I bowed, and desired to be conducted to the cabin destined for me."
164 ""
164 "The Abraham Lincoln had been well chosen and equipped for her new"
164 "destination.  She was a frigate of great speed, fitted with"
164 "high-pressure engines which admitted a pressure of seven atmospheres."
164 "Under this the Abraham Lincoln attained the mean speed of nearly"
164 "eighteen knots and a third an hour--a considerable speed, but,"
164 "nevertheless, insufficient to grapple with this gigantic cetacean."
164 ""
164 "The interior arrangements of the frigate corresponded to its nautical"
164 "qualities.  I was well satisfied with my cabin, which was in the after"
164 "part, opening upon the gunroom."
164 ""
164 "\"We shall be well off here,\" said I to Conseil."
164 ""
164 "\"As well, by your honour's leave, as a hermit-crab in the shell of a"
164 "whelk,\" said Conseil."
164 ""
164 "I left Conseil to stow our trunks conveniently away, and remounted the"
164 "poop in order to survey the preparations for departure."
164 ""
164 "At that moment Commander Farragut was ordering the last moorings to be"
164 "cast loose which held the Abraham Lincoln to the pier of Brooklyn.  So"
164 "in a quarter of an hour, perhaps less, the frigate would have sailed"
164 "without me.  I should have missed this extraordinary, supernatural, and"
164 "incredible expedition, the recital of which may well meet with some"
164 "suspicion."
164 ""
164 "But Commander Farragut would not lose a day nor an hour in scouring the"
164 "seas in which the animal had been sighted.  He sent for the engineer."
164 ""
164 "\"Is the steam full on?\" asked he."
164 ""
164 "\"Yes, sir,\" replied the engineer."
164 ""
164 "\"Go ahead,\" cried Commander Farragut."
164 ""
164 ""
164 ""
164 "CHAPTER IV"
164 ""
164 "NED LAND"
164 ""
164 "Captain Farragut was a good seaman, worthy of the frigate he commanded."
164 "His vessel and he were one.  He was the soul of it.  On the question of"
164 "the monster there was no doubt in his mind, and he would not allow the"
164 "existence of the animal to be disputed on board.  He believed in it, as"
164 "certain good women believe in the leviathan--by faith, not by reason."
164 "The monster did exist, and he had sworn to rid the seas of it.  Either"
164 "Captain Farragut would kill the narwhal, or the narwhal would kill the"
164 "captain.  There was no third course."
164 ""
164 "The officers on board shared the opinion of their chief.  They were"
164 "ever chatting, discussing, and calculating the various chances of a"
164 "meeting, watching narrowly the vast surface of the ocean.  More than"
164 "one took up his quarters voluntarily in the cross-trees, who would have"
164 "cursed such a berth under any other circumstances.  As long as the sun"
164 "described its daily course, the rigging was crowded with sailors, whose"
164 "feet were burnt to such an extent by the heat of the deck as to render"
164 "it unbearable; still the Abraham Lincoln had not yet breasted the"
164 "suspected waters of the Pacific.  As to the ship's company, they"
164 "desired nothing better than to meet the unicorn, to harpoon it, hoist"
164 "it on board, and despatch it.  They watched the sea with eager"
164 "attention."
164 ""
164 "Besides, Captain Farragut had spoken of a certain sum of two thousand"
164 "dollars, set apart for whoever should first sight the monster, were he"
164 "cabin-boy, common seaman, or officer."
164 ""
164 "I leave you to judge how eyes were used on board the Abraham Lincoln."
164 ""
164 "For my own part I was not behind the others, and, left to no one my"
164 "share of daily observations.  The frigate might have been called the"
164 "Argus, for a hundred reasons.  Only one amongst us, Conseil, seemed to"
164 "protest by his indifference against the question which so interested us"
164 "all, and seemed to be out of keeping with the general enthusiasm on"
164 "board."
164 ""
164 "I have said that Captain Farragut had carefully provided his ship with"
164 "every apparatus for catching the gigantic cetacean.  No whaler had ever"
164 "been better armed.  We possessed every known engine, from the harpoon"
164 "thrown by the hand to the barbed arrows of the blunderbuss, and the"
164 "explosive balls of the duck-gun.  On the forecastle lay the perfection"
164 "of a breech-loading gun, very thick at the breech, and very narrow in"
164 "the bore, the model of which had been in the Exhibition of 1867.  This"
164 "precious weapon of American origin could throw with ease a conical"
164 "projectile of nine pounds to a mean distance of ten miles."
164 ""
164 "Thus the Abraham Lincoln wanted for no means of destruction; and, what"
164 "was better still she had on board Ned Land, the prince of harpooners."
164 ""
164 "Ned Land was a Canadian, with an uncommon quickness of hand, and who"
164 "knew no equal in his dangerous occupation.  Skill, coolness, audacity,"
164 "and cunning he possessed in a superior degree, and it must be a cunning"
164 "whale to escape the stroke of his harpoon."
164 ""
164 "Ned Land was about forty years of age; he was a tall man (more than six"
164 "feet high), strongly built, grave and taciturn, occasionally violent,"
164 "and very passionate when contradicted.  His person attracted attention,"
164 "but above all the boldness of his look, which gave a singular"
164 "expression to his face."
164 ""
164 "Who calls himself Canadian calls himself French; and, little"
164 "communicative as Ned Land was, I must admit that he took a certain"
164 "liking for me.  My nationality drew him to me, no doubt.  It was an"
164 "opportunity for him to talk, and for me to hear, that old language of"
164 "Rabelais, which is still in use in some Canadian provinces.  The"
164 "harpooner's family was originally from Quebec, and was already a tribe"
164 "of hardy fishermen when this town belonged to France."
164 ""
164 "Little by little, Ned Land acquired a taste for chatting, and I loved"
164 "to hear the recital of his adventures in the polar seas.  He related"
164 "his fishing, and his combats, with natural poetry of expression; his"
164 "recital took the form of an epic poem, and I seemed to be listening to"
164 "a Canadian Homer singing the Iliad of the regions of the North."
164 ""
164 "I am portraying this hardy companion as I really knew him.  We are old"
164 "friends now, united in that unchangeable friendship which is born and"
164 "cemented amidst extreme dangers.  Ah, brave Ned!  I ask no more than to"
164 "live a hundred years longer, that I may have more time to dwell the"
164 "longer on your memory."
164 ""
164 "Now, what was Ned Land's opinion upon the question of the marine"
164 "monster?  I must admit that he did not believe in the unicorn, and was"
164 "the only one on board who did not share that universal conviction.  He"
164 "even avoided the subject, which I one day thought it my duty to press"
164 "upon him.  One magnificent evening, the 30th July (that is to say,"
164 "three weeks after our departure), the frigate was abreast of Cape"
164 "Blanc, thirty miles to leeward of the coast of Patagonia.  We had"
164 "crossed the tropic of Capricorn, and the Straits of Magellan opened"
164 "less than seven hundred miles to the south.  Before eight days were"
164 "over the Abraham Lincoln would be ploughing the waters of the Pacific."
164 ""
164 "Seated on the poop, Ned Land and I were chatting of one thing and"
164 "another as we looked at this mysterious sea, whose great depths had up"
164 "to this time been inaccessible to the eye of man.  I naturally led up"
164 "the conversation to the giant unicorn, and examined the various chances"
164 "of success or failure of the expedition.  But, seeing that Ned Land let"
164 "me speak without saying too much himself, I pressed him more closely."
164 ""
164 "\"Well, Ned,\" said I, \"is it possible that you are not convinced of the"
164 "existence of this cetacean that we are following?  Have you any"
164 "particular reason for being so incredulous?\""
164 ""
164 "The harpooner looked at me fixedly for some moments before answering,"
164 "struck his broad forehead with his hand (a habit of his), as if to"
164 "collect himself, and said at last, \"Perhaps I have, Mr. Aronnax.\""
164 ""
164 "\"But, Ned, you, a whaler by profession, familiarised with all the great"
164 "marine mammalia--YOU ought to be the last to doubt under such"
164 "circumstances!\""
164 ""
164 "\"That is just what deceives you, Professor,\" replied Ned.  \"As a whaler"
164 "I have followed many a cetacean, harpooned a great number, and killed"
164 "several; but, however strong or well-armed they may have been, neither"
164 "their tails nor their weapons would have been able even to scratch the"
164 "iron plates of a steamer.\""
164 ""
164 "\"But, Ned, they tell of ships which the teeth of the narwhal have"
164 "pierced through and through.\""
164 ""
164 "\"Wooden ships--that is possible,\" replied the Canadian, \"but I have"
164 "never seen it done; and, until further proof, I deny that whales,"
164 "cetaceans, or sea-unicorns could ever produce the effect you describe.\""
164 ""
164 "\"Well, Ned, I repeat it with a conviction resting on the logic of"
164 "facts.  I believe in the existence of a mammal power fully organised,"
164 "belonging to the branch of vertebrata, like the whales, the cachalots,"
164 "or the dolphins, and furnished with a horn of defence of great"
164 "penetrating power.\""
164 ""
164 "\"Hum!\" said the harpooner, shaking his head with the air of a man who"
164 "would not be convinced."
164 ""
164 "\"Notice one thing, my worthy Canadian,\" I resumed.  \"If such an animal"
164 "is in existence, if it inhabits the depths of the ocean, if it"
164 "frequents the strata lying miles below the surface of the water, it"
164 "must necessarily possess an organisation the strength of which would"
164 "defy all comparison.\""
164 ""
164 "\"And why this powerful organisation?\" demanded Ned."
164 ""
164 "\"Because it requires incalculable strength to keep one's self in these"
164 "strata and resist their pressure.  Listen to me.  Let us admit that the"
